Date;Open;High;Low;Close;Volume
2017.08.04  20:00:00;144.404;144.478;144.214;144.248;20980
2017.08.07  00:00:00;144.282;144.611;144.274;144.516;19980
2017.08.07  04:00:00;144.520;144.559;144.390;144.534;16739
2017.08.07  08:00:00;144.534;144.620;144.373;144.493;27729
2017.08.07  12:00:00;144.494;144.702;144.272;144.335;27805
2017.08.07  16:00:00;144.335;144.389;144.172;144.206;27025
2017.08.07  20:00:00;144.205;144.337;144.174;144.325;13539
2017.08.08  00:00:00;144.319;144.418;144.288;144.381;9348
2017.08.08  04:00:00;144.380;144.448;144.246;144.306;20913
2017.08.08  08:00:00;144.308;144.311;144.090;144.164;20921
2017.08.08  12:00:00;144.163;144.187;143.512;143.620;26117
2017.08.08  16:00:00;143.621;143.672;143.279;143.416;41357
2017.08.08  20:00:00;143.415;143.568;143.170;143.321;25740
2017.08.09  00:00:00;143.315;143.367;142.509;142.699;16803
2017.08.09  04:00:00;142.699;142.784;142.455;142.761;24846
2017.08.09  08:00:00;142.762;143.328;142.570;142.648;34665
2017.08.09  12:00:00;142.649;143.023;142.258;142.545;35569
2017.08.09  16:00:00;142.545;143.069;142.480;142.839;43262
2017.08.09  20:00:00;142.836;143.131;142.783;143.111;21665
2017.08.10  00:00:00;143.111;143.319;142.882;143.237;13364
2017.08.10  04:00:00;143.237;143.324;142.835;142.896;26099
2017.08.10  08:00:00;142.897;142.938;142.488;142.790;29319
2017.08.10  12:00:00;142.790;142.807;142.438;142.590;34375
2017.08.10  16:00:00;142.591;142.652;141.718;141.829;50610
2017.08.10  20:00:00;141.831;141.902;141.630;141.725;25754
2017.08.11  00:00:00;141.661;141.725;141.487;141.577;13096
2017.08.11  04:00:00;141.577;141.668;141.370;141.529;27700
2017.08.11  08:00:00;141.530;141.851;141.238;141.355;30808
2017.08.11  12:00:00;141.351;141.783;141.254;141.364;39411
2017.08.11  16:00:00;141.364;141.936;141.304;141.870;51060
2017.08.11  20:00:00;141.870;142.061;141.701;141.998;27626
2017.08.14  00:00:00;141.708;141.991;141.708;141.990;117
2017.08.14  12:00:00;142.152;142.297;142.094;142.276;8563
2017.08.14  16:00:00;142.277;142.327;141.914;142.062;37014
2017.08.14  20:00:00;142.063;142.275;142.030;142.188;23799
2017.08.15  00:00:00;142.188;142.857;142.032;142.818;19000
2017.08.15  04:00:00;142.816;142.946;142.755;142.921;26467
2017.08.15  08:00:00;142.922;143.178;142.450;142.603;36746
2017.08.15  12:00:00;142.604;142.691;142.055;142.404;40005
2017.08.15  16:00:00;142.404;142.487;141.961;142.104;42946
2017.08.15  20:00:00;142.103;142.446;142.016;142.446;20777
2017.08.16  00:00:00;142.362;142.446;142.217;142.408;15070
2017.08.16  04:00:00;142.406;142.473;142.300;142.437;15368
2017.08.16  08:00:00;142.438;143.070;142.234;142.944;31929
2017.08.16  12:00:00;142.935;143.082;142.447;142.520;27216
2017.08.16  16:00:00;142.521;142.624;142.238;142.255;31658
2017.08.16  20:00:00;142.257;142.287;141.711;142.008;33680
2017.08.17  00:00:00;142.014;142.029;141.561;141.571;23698
2017.08.17  04:00:00;141.572;141.854;141.494;141.791;22273
2017.08.17  08:00:00;141.794;142.000;141.546;141.798;29523
2017.08.17  12:00:00;141.799;142.028;141.534;141.973;33642
2017.08.17  16:00:00;141.977;141.995;141.328;141.338;43409
2017.08.17  20:00:00;141.342;141.394;140.841;140.989;25672
2017.08.18  00:00:00;140.994;141.010;140.597;140.831;19686
2017.08.18  04:00:00;140.830;141.066;140.810;140.889;16322
2017.08.18  08:00:00;140.885;141.089;140.390;140.659;29897
2017.08.18  12:00:00;140.657;140.800;140.261;140.261;28414
2017.08.18  16:00:00;140.259;140.917;139.773;140.775;57694
2017.08.18  20:00:00;140.776;140.860;140.435;140.435;25262
2017.08.21  00:00:00;140.521;140.828;140.440;140.680;11598
2017.08.21  04:00:00;140.681;140.719;140.557;140.630;13002
2017.08.21  08:00:00;140.630;140.696;140.092;140.401;23086
2017.08.21  12:00:00;140.402;140.700;140.313;140.430;21338
2017.08.21  16:00:00;140.428;140.623;140.182;140.466;37661
2017.08.21  20:00:00;140.465;140.580;140.212;140.562;18889
2017.08.22  00:00:00;140.511;140.862;140.396;140.784;11586
2017.08.22  04:00:00;140.782;141.025;140.713;140.747;17333
2017.08.22  08:00:00;140.746;140.889;140.391;140.424;21916
2017.08.22  12:00:00;140.424;140.439;140.057;140.164;25355
2017.08.22  16:00:00;140.163;140.548;140.046;140.540;29562
2017.08.22  20:00:00;140.540;140.542;140.309;140.453;13256
2017.08.23  00:00:00;140.482;140.779;140.451;140.527;11802
2017.08.23  04:00:00;140.527;140.627;140.193;140.259;16833
2017.08.23  08:00:00;140.260;140.522;139.913;140.060;25648
2017.08.23  12:00:00;140.060;140.191;139.598;139.645;24405
2017.08.23  16:00:00;139.646;139.749;139.424;139.611;35666
2017.08.23  20:00:00;139.612;139.767;139.447;139.550;19564
2017.08.24  00:00:00;139.507;139.663;139.282;139.642;14993
2017.08.24  04:00:00;139.642;139.669;139.529;139.560;17139
2017.08.24  08:00:00;139.561;140.147;139.395;140.099;25767
2017.08.24  12:00:00;140.100;140.423;140.051;140.322;25701
2017.08.24  16:00:00;140.322;140.339;139.806;139.849;34347
2017.08.24  20:00:00;139.848;140.271;139.808;140.223;15972
2017.08.25  00:00:00;140.195;140.580;140.120;140.485;19190
2017.08.25  04:00:00;140.487;140.507;140.291;140.346;12687
2017.08.25  08:00:00;140.346;140.552;140.201;140.461;18215
2017.08.25  12:00:00;140.460;140.818;140.453;140.753;22290
2017.08.25  16:00:00;140.754;140.837;140.393;140.670;43516
